Game portal username,Имя пользователя
Very Low,Очень низкий
Friendly,Дружественный
Counts as cruel,Считается жестоким
Rescue,Спасти
Leviathan's Demise,Гибель Левиафана
Flee,Сбежать
Custom Chart Notes,Примечания к пользовательским картам
Auguros Work Camp,Рабочий лагерь Аугурос
Fulcimus Imperium,Фульцимус Империум
The Sunken Tower,Затонувшая башня
Argador,Аргадор
Toggle All,Переключить все
Ambition,Стремление
Ambience Volume,Громкость атмосферы
The Molten Tongue,Расплавленный язык
Crew Properties,Свойства экипажа
Encampment,Лагерь
Items,Предметы
Dajmahans,Даймаханцы
What is it related to? *,С чем это связано? *
Campaign Time Limit,Ограничение времени кампании
Left,Влево
Block and Evade,Блок и уклонение
You,Вы
Event Scroll Speed,Скорость прокрутки
Praecepticis,Пресептицис
Combat Log,Журнал боевых действий
Oasis,Оазис
Appease,Умилостивить
The Jagged Waste,Зубастая пустошь
Enter / Explore,Войти / Исследовать
Congenial,Доброжелательный
Kill them,Убить их
Kalarruk,Калани
The Forlorn Waste,Покинутая пустошь
Scout Master,Мастер разведки
English,Английский
The Church of Ahskul,Церковь Ахскула
Outpost,Аванпост
Claimed,Заявлено
Rewards,Вознаграждения
Give up,Сдаться
Wasteland Mode,Режим Диссонанс
Destroy,Уничтожить
Rumors field,Поле слухов
Your Attributes,Ваши атрибуты
Leader Faction Window,Окно фракции лидера
Fail,Провал
The Searing Plains,Пылающие равнины
Event+Settlement,Событие+Поселение
The Prefectus,Префект
German,Немецкий
Pay,Выплатить
Vitrar,Витрар
The Border Range,Пограничный хребет
Objectives,Цели
Deactivate,Деактивировать
The Last Pilgrimage,Последнее паломничество
Major Ruin,Крупные развалины
Pay later,Выплатить позже
Play Intro,Показать вступление
Available,Доступно
Odds,Шансы
Leave,Оставить
Tooltip Delay,Задержка подсказки
Venatoris,Венаторис
New Entry,Новая запись
Camp,Лагерь
Actions,Действия
and,и
Nutrition,Сытость
Prowess and Proficiency,Мастерство и очки мастерства
Relaxation,Релаксация
The Dragon Steps,Ступени дракона
Combat Buffs and Debuffs,Боевые бонусы и штрафы
Title,Название
Regeneration,Восстановление
Open World Tutorials,Учебники по открытому миру
Dragmolac,Драгмолак
Beasts of Burden,Вьючные звери
The Forsaken Colony,Община отречённых
Resolution,Разрешение
Manual-Scouting,Ручная разведка
Elves,Эльфы
Auto-acquire Supplies,Автоприобретение припасов
Ward,Опека
Allies,Союзники
Tests,Испытания
Ater Manis,Атер Манис
Total,Всего
Victory,Победа
The Windway,Путь ветра
Molegrath,Молеграт
Point of Interest,Точка интереса
Character Perks,Навыки персонажа
Send Game Statistics,Отправлять статистику игры
Calerus Valley,Долина Калерус
Today,Сегодня
Eliminate,Ликвидировать
Controls,Управление
Points of Interest,Точки интереса
Buy price:,Цена покупки:
Markers,Маркеры
Custom,Пользовательский
Companion camp interactions,Взаимодействие в лагере
Animals,Животные
Mind,Разум
Send,Отправить
Custom Cursor,Пользовательский курсор
The Taint,Скверна
