Game portal username,Имя пользователя
Very Low,Очень низкий
Friendly,Дружественный
Counts as cruel,Считается жестоким
Rescue,Спасти
Leviathan's Demise,Гибель Левиафана
Flee,Сбежать
Custom Chart Notes,Примечания к пользовательским картам
Auguros Work Camp,Рабочий лагерь Аугурос
Ranged,Дальний бой
Fulcimus Imperium,Фульцимус Империум
The Sunken Tower,Затонувшая башня
Argador,Аргадор
Toggle All,Переключить все
Ambition,Стремление
Ambience Volume,Громкость окружения
The Molten Tongue,Расплавленный язык
Crew Properties,Свойства экипажа
Encampment,Лагерь
Items,Предметы
Dajmahans,Даймаханцы
What is it related to? *,С чем это связано? *
Campaign Time Limit,Ограничение времени кампании
Left,Влево
Block and Evade,Блок и уклонение
You,Вы
Velum,Велум
Event Scroll Speed,Скорость прокрутки событий
Praecepticis,Пресептицис
Combat Log,Журнал боевых действий
Oasis,Оазис
Appease,Умилостивить
The Jagged Waste,Зазубренная пустошь
With,С
Enter / Explore,Войти / Исследовать
Congenial,Доброжелательный
Kill them,Убить их
Kalarruk,Калани
The Forlorn Waste,Заброшенная пустошь
Scout Master,Мастер разведки
English,Английский
Melee,Ближний бой
The Church of Ahskul,Церковь Ахскула
Outpost,Застава
Claimed,Заявлено
Rewards,Вознаграждения
Give up,Сдаться
Wasteland Mode,Режим пустоши
Destroy,Уничтожить
Rumors field,Поле слухов
Your Attributes,Ваши атрибуты
Leader Faction Window,Окно лидеров фракции
Fail,Провал
The Searing Plains,Пылающие равнины
Event+Settlement,Событие+Поселение
Event + Settlement,Событие + Поселение
The Prefectus,Префект
German,Немецкий
Pay,Выплатить
Vitrar,Витрар
The Border Range,Пограничный хребет
Gains,Получает
Objectives,Цели
Deactivate,Деактивировать
The Last Pilgrimage,Последнее паломничество
Major Ruin,Крупные руины
Pay later,Выплатить позже
Play Intro,Показать вступление
Available,Доступно
Odds,Шансы
Leave,Выйти
Tooltip Delay,Задержка подсказки
Venatoris,Венатор
Her,Ее
Tag,тэг
New Entry,Новая запись
Camp,Лагерь
Actions,Действия
and,и
Nutrition,Питание
Prowess and Proficiency,Мастерство и очки мастерства
Faction Opponent:,Фракция противник:
Relaxation,Релаксация
The Dragon Steps,Ступени дракона
Combat Buffs and Debuffs,Боевые усиления и ослабления
Title,Название
Regeneration,Регенерация
Open World Tutorials,Подсказки по игре в открытом мире
Dragmolac,Драгмолак
Beasts of Burden,Вьючные звери
The Forsaken Colony,Забытая колония
Resolution,Разрешение
Manual-Scouting,Ручная разведка
Elves,Эльфы
Auto-acquire Supplies,Автоприобретение припасов
Ward,Опека
Allies,Союзники
Tests,Испытания
Leaves,Выйти
Ater Manis,Атер Манис
Total,Всего
Victory,Победа
The Windway,Путь ветра
Molegrath,Молеграт
Point of Interest,Точка интереса
Character Perks,Навыки персонажа
Send Game Statistics,Отправлять статистику игры
Grants,Дает
Calerus Valley,Долина Калерус
Today,Сегодня
Eliminate,Ликвидировать
Controls,Управление
Points of Interest,Точки интереса
